H-3	notes/r8a-90-doc-conflict-rulings.md	2112	**R8C**	| H-3 | **R8C** | `hermes_cli/web_server.py:12320`(`approve_pairing` 路由) | 本轮已读该路由本体并定案 ■-8(与 CLI 的锁定报告不一致);**未查的是它的鉴权层**——`/api/pairing/approve` 由哪一层保证只有已认证管理员可调,需在 R8C 全文精读时确证 |
H-4	notes/r8a-90-doc-conflict-rulings.md	2113	**R8D**	| H-4 | **R8D** | `hermes_cli/managed_scope.py` | 本轮从 `config.py:3396` 与 `cli.py:624` 两侧读到它,但**没读本体**;managed 层的叶级合并实现与失败姿态未取证 |
H-6	notes/r8a-90-doc-conflict-rulings.md	2115	**R11 复盘**	| H-6 | **R11 复盘** | 本卷 ◇-1 | 105 个零文档键的**清单已在 `data/r8a-config-keys.tsv`**,但未逐条判断"该不该文档化";R11 对表时可直接消费该列 |
H-9	notes/r8a-90-doc-conflict-rulings.md	2116	**R8D**	| H-9 | **R8D** | `hermes_cli/config.py:4453`(Skill 设置段不脱敏)/ `agent/skill_utils.py:701`(声明 schema 无敏感标记) | 第三方 skill 若声明形如 `api.token` 的配置项,`hermes config` 会明文打印——本基线自带 skill 无人声明该字段,故仅为隐患;修法是给声明 schema 补 `password` 标记,或让该段统一走 `redact_config_value` |
H-7	notes/r8a-90-doc-conflict-rulings.md	2117	**R8B / R8D**	| H-7 | **R8B / R8D** | `hermes_cli/config.py:3065`(`require_readable_config_before_write`) | 该守卫只检查文件**可读**不检查**可解析**;`set/unset_config_value` 各自补了解析检查(见 §3.5),但**是否存在第三个调用方直接 `read_raw_config()` 后落盘**本轮未穷举——若有,坏 YAML 会被静默截断 |
H-12	notes/r8a-90-doc-conflict-rulings.md	2120	**R8D**	| H-12 | **R8D** | `hermes_cli/skills_config.py`(CLI 侧吃 `load_config()`)vs `agent/skill_utils.py:401`(运行时侧读裸 YAML) | skill 禁用名单两份实现,且**配置来源不同**——managed 层钉的 `skills.disabled` 疑似只对菜单生效,对运行时无效。子代理标为存疑,主线未取证,R8D 读 skill 子系统时一并确证 |
H-15	notes/r8a-90-doc-conflict-rulings.md	2123	**R8D**	| H-15 | **R8D** | `hermes_cli/skills_config.py:78`(`skip_disabled=True` 的形参)与其 docstring | 子代理报"docstring 与 `skip_disabled` 语义相反",**主线未确证,不记 ■**。若参数真是"过滤掉已禁用的",则已禁用的技能不会出现在勾选界面 → **无法重新启用**。R8D 读 skill 子系统时跑一次真实菜单即可定案 |
H-18	notes/r8a-90-doc-conflict-rulings.md	2126	**R11 复盘 / 任何一轮的空档**	| H-18 | **R11 复盘 / 任何一轮的空档** | 11 份 workflow 底稿的「可疑缺陷清单」小节(`notes/r8a-raw-config-a.md:1525` 起、`notes/r8a-raw-config-b.md:1227` 起、`raw-config-c.md`、`raw-tools-config-b/c.md`、`raw-commands.md`、`raw-defaults-a/b.md`、`raw-mcp-moa-config.md`) | **本轮定稿时统计:这 11 份底稿的清单里合计约 104 条候选条目,主线逐条挖过的约占一半;剩下约 50 条未逐条复核**(多为重复、风格类或已被其他条覆盖,但**没有逐条确认过**)。本轮已从中补挖出 ▲-10 与 ■-50…■-55 六条,说明残余里仍有真货。**不谎报覆盖**:这是本轮已知的、有明确锚点的最
H-R9D-B-a	notes/r9d-raw-file-io-safety.md	1705	`tools/file_operations.py:1782`:`diff = self._unified_diff(content, new_content, path)`	| H-R9D-B-a | `tools/file_operations.py:1782`:`diff = self._unified_diff(content, new_content, path)` | `patch` 无读禁、无脱敏,返回的 unified diff 把 `auth.json` / 项目 `.env` 的明文密钥原样交给模型(实跑复现,见 ■-3) | 下一轮安全面复核 |
H-R9D-B-b	notes/r9d-raw-file-io-safety.md	1706	`agent/file_safety.py:284`:`os.path.join("cache", "bws_cache.json"),`	| H-R9D-B-b | `agent/file_safety.py:284`:`os.path.join("cache", "bws_cache.json"),` | 同类的 `cache/op_cache.json`(1Password 明文值)不在任何守卫表里,且因此可被 skill 声明式挂进沙箱(实跑复现,见 ■-2) | 与 R9C D 片 ■-1 合并结案 |
