# 语料 8d6bac6 / 276 份  剔除前缀 ('r11c-',)  处置语语料 276 份
# 撞号 39 号 / 100 实体
# 实体标签  NO-RULING=37  COVERED=18  REVIEW=45
cid	entity	entities	tag	mint_sites	anchor_files	named_by
H-1	1	4	REVIEW	notes/r10b-raw-capability-panels.md:1012;notes/r10b-raw-capability-panels.md:1084	apps/desktop/AGENTS.md;apps/desktop/src/contrib/plugin.ts	-
H-1	2	4	REVIEW	notes/r8a-90-doc-conflict-rulings.md:2110;notes/r8b-02-h1-h2-config-debt.md:10	cli.py	-
H-1	3	4	REVIEW	notes/r8d-raw-provider-identity.md:2702	hermes_cli/auth.py;hermes_cli/models.py	-
H-1	4	4	REVIEW	notes/r9a-raw-research-pipeline.md:2298	batch_runner.py	-
H-17	1	2	COVERED	notes/r8a-90-doc-conflict-rulings.md:2125;notes/r8c-90-rulings.md:19	hermes_cli/env_loader.py	锚点路径@notes/r8a-90-doc-conflict-rulings.md:2125;锚点路径@notes/r8c-90-rulings.md:19
H-17	2	2	COVERED	notes/r8c-10-h17-env-loader-race.md:17	gateway/run.py	同文件邻近@notes/r8c-10-h17-env-loader-race.md:17;点名铸号文件@notes/r8c-90-rulings.md:19
H-2	1	4	REVIEW	notes/r10b-raw-capability-panels.md:1045;notes/r10b-raw-capability-panels.md:1182	apps/desktop/src/contrib/runtime-loader.ts;apps/desktop/src/plugins/README.md	-
H-2	2	4	REVIEW	notes/r8a-90-doc-conflict-rulings.md:2111;notes/r8b-02-h1-h2-config-debt.md:13;notes/r8b-02-h1-h2-config-debt.md:279	cli.py	-
H-2	3	4	REVIEW	notes/r8d-raw-provider-identity.md:2703	hermes_cli/models.py	-
H-2	4	4	COVERED	notes/r9a-raw-research-pipeline.md:2299	trajectory_compressor.py	锚点路径@notes/r9a-raw-research-pipeline.md:2299
H-3	1	4	REVIEW	notes/r10b-raw-capability-panels.md:1212	tools/skills_guard.py	-
H-3	2	4	COVERED	notes/r8a-90-doc-conflict-rulings.md:2112;notes/r8c-90-rulings.md:15	hermes_cli/web_server.py	锚点路径@notes/r8a-90-doc-conflict-rulings.md:2112;锚点路径@notes/r8c-90-rulings.md:15
H-3	3	4	REVIEW	notes/r8d-raw-provider-identity.md:2704	hermes_cli/provider_catalog.py	-
H-3	4	4	REVIEW	notes/r9a-raw-research-pipeline.md:2300	trajectory_compressor.py	-
H-4	1	3	NO-RULING	notes/r8a-90-doc-conflict-rulings.md:2113	cli.py	-
H-4	2	3	NO-RULING	notes/r8d-raw-provider-identity.md:2705	hermes_cli/providers.py	-
H-4	3	3	NO-RULING	notes/r9a-raw-research-pipeline.md:2301	mini_swe_runner.py	-
H-5	1	3	REVIEW	notes/r8a-90-doc-conflict-rulings.md:2114	ui-tui/src/gatewayTypes.ts	-
H-5	2	3	REVIEW	notes/r8d-raw-provider-identity.md:2706	hermes_cli/model_normalize.py	-
H-5	3	3	COVERED	notes/r9a-raw-research-pipeline.md:2302	datagen-config-examples/web_research.yaml	锚点路径@notes/r9a-raw-research-pipeline.md:2302
H-6	1	3	NO-RULING	notes/r8d-raw-provider-identity.md:2707	agent/agent_runtime_helpers.py;hermes_cli/providers.py;hermes_cli/runtime_provider.py	-
H-6	2	3	NO-RULING	notes/r9a-raw-delegate-tool.md:2862	run_agent.py;tools/terminal_tool.py	-
H-6	3	3	NO-RULING	notes/r9a-raw-research-pipeline.md:2303	batch_runner.py	-
H-7	1	4	COVERED	notes/r8a-90-doc-conflict-rulings.md:2117;notes/r8b-90-handover-rulings.md:209	hermes_cli/config.py	点名铸号文件@notes/r11b-raw-rulings-census.md:773;同文件邻近@notes/r8b-90-handover-rulings.md:209
H-7	2	4	REVIEW	notes/r8d-raw-credentials-security.md:271	hermes_cli/credential_lifecycle.py	-
H-7	3	4	REVIEW	notes/r8d-raw-provider-identity.md:2708	hermes_cli/model_normalize.py	-
H-7	4	4	COVERED	notes/r9a-raw-research-pipeline.md:2304	batch_runner.py	锚点路径@notes/r9a-raw-research-pipeline.md:2304
H-9A-1	1	2	COVERED	notes/r9a-raw-moa.md:2546	agent/agent_init.py;cli.py	锚点路径@notes/r9a-raw-moa.md:2546
H-9A-1	2	2	REVIEW	notes/r9a-raw-skills-hub.md:2231	tools/skills_tool.py	-
H-9A-2	1	2	NO-RULING	notes/r9a-raw-moa.md:2547	agent/moa_loop.py;cli.py	-
H-9A-2	2	2	NO-RULING	notes/r9a-raw-skills-hub.md:2232	tools/skills_tool.py	-
H-9A-3	1	2	NO-RULING	notes/r9a-raw-moa.md:2548	hermes_cli/config_defaults.py	-
H-9A-3	2	2	NO-RULING	notes/r9a-raw-skills-hub.md:2233	tools/skill_manager_tool.py	-
H-9A-4	1	2	NO-RULING	notes/r9a-raw-moa.md:2549	website/docs/user-guide/features/mixture-of-agents.md	-
H-9A-4	2	2	NO-RULING	notes/r9a-raw-skills-hub.md:2234	tools/skills_hub.py	-
H-9A-5	1	2	NO-RULING	notes/r9a-raw-moa.md:2550	agent/moa_loop.py	-
H-9A-5	2	2	NO-RULING	notes/r9a-raw-skills-hub.md:2235	tools/skills_guard.py	-
H-9A-6	1	2	NO-RULING	notes/r9a-raw-moa.md:2551	agent/moa_loop.py	-
H-9A-6	2	2	NO-RULING	notes/r9a-raw-skills-hub.md:2236	tools/skills_tool.py	-
H-R10B-a	1	2	COVERED	notes/r10-raw-tui-gateway-methods.md:1648;reports/round-11b-review-and-reconciliation.md:95	tui_gateway/methods_session.py	锚点路径@notes/r11b-raw-rulings-census.md:883
H-R10B-a	2	2	COVERED	notes/r10b-raw-capability-panels.md:1353	apps/desktop/src/plugins/gateway-pill/plugin.tsx	锚点路径@notes/r11b-raw-rulings-census.md:884
H-R10B-b	1	2	REVIEW	notes/r10-raw-tui-gateway-methods.md:1649	tui_gateway/host_supervisor.py	-
H-R10B-b	2	2	REVIEW	notes/r10b-raw-capability-panels.md:1354	apps/desktop/src/contrib/runtime-loader.ts;apps/desktop/src/plugins/hello-runtime/plugin.runtime.js	-
H-R10B-c	1	2	NO-RULING	notes/r10-raw-tui-gateway-methods.md:1650	tui_gateway/host_supervisor.py	-
H-R10B-c	2	2	NO-RULING	notes/r10b-raw-capability-panels.md:1355	hermes_cli/skills_hub.py;tools/skill_manager_tool.py	-
H-R10B-d	1	2	REVIEW	notes/r10-raw-tui-gateway-methods.md:1651	tests/test_tui_gateway_server.py;tui_gateway/methods_tools.py	-
H-R10B-d	2	2	REVIEW	notes/r10b-raw-capability-panels.md:1356	apps/desktop/src/contrib/types.ts	-
H-R10B-e	1	3	NO-RULING	notes/r10-raw-tui-gateway-methods.md:1652	tui_gateway/project_tree.py	-
H-R10B-e	2	3	NO-RULING	notes/r10b-raw-capability-panels.md:1357	apps/desktop/src/app/skills/index.tsx	-
H-R10B-e	3	3	NO-RULING	reports/round-10b-desktop-application.md:706	apps/desktop/playwright.config.ts	-
